id,keywords,year,_material,_height,_width,_time,_description
ARKM.2005-02-31-01-001,"Skiss, bio",1962,Transparent papper,223,150,1962,Utsmetad blyerts
ARKM.2005-102-05-003,Skylt,1962,Foto,223,150,1962,Utsmetad blyerts
ARKM.2005-102-05-002,Interiör,1962,Foto,223,150,1962,Utsmetad blyerts
ARKM.2005-102-05-001,Interiör,1962,Foto,223,150,1962,Utsmetad blyerts
ARKM.1988-111-X367-5,"Interiör, Dörr",1962,Foto,223,150,1962,Utsmetad blyerts
ARKM.1996-32-072-001,Detaljritning,1962,Transparent papper,371,448,1962,Lätt utsmetad blyerts
ARKM.1988-111-X373-9,"Interiör, Bio",1962,Foto,371,448,1962,Lätt utsmetad blyerts
ARKM.1988-111-X373-9,Celler för Fångvården,1962,Foto,371,448,1962,Lätt utsmetad blyerts
ARKM.2005-102-24-0006,Cell i skala 1:1,1962,Dia,371,448,1962,Lätt utsmetad blyerts
ARKM.2005-102-24-0018,Cell i skala 1:1,1962,Dia,371,448,1962,Lätt utsmetad blyerts
ARKM.2005-102-24-0017,Cell i skala 1:1,1962,Dia,371,448,1962,Lätt utsmetad blyerts
ARKM.2005-102-24-0016,Cell i skala 1:1,1962,Dia,371,448,1962,Lätt utsmetad blyerts
ARKM.2005-02-10-02-018,Fönster i cell,1962,Transparent papper,210,297,1962,Det är oklart men kanske tejpremsan del av verket.
ARKM.2005-02-10-02-001,Fönster i cell,1962,Transparent papper,212,297,1962,"Ritning i blyerts, lila stämpel"
ARKM.2005-02-10-02-036,Fönster i cell,1962,Transparent papper,210,303,1962,Utsmetad blyerts
ARKM.2005-02-10-02-015,Fönster i cell,1962,Transparent papper,215,302,1962,Rivna kanter
ARKM.2005-02-10-02-013,Fönster i cell,1962,Transparent papper,212,297,1962,Rivna kanter
ARKM.2005-02-,Fönster i cell,1962,Transparent papper,223,330,1962,Hård blyerts
ARKM.2005-02-,Fönster i cell,1962,Transparent papper,220,316,1962,Hård blyerts
ARKM.2005-02-10-02-06,Fönster i cell,1962,Transparent papper,216,298,1962,Hård blyerts
ARKM.2005-02,Materialprov,1962,Papper,210,298,1962,Två materialprover fastsatta med häftklamrar på papper. Påskrift i filtpenna.
ARKM.2005-02,Materialprov,1962,Papper,210,298,1962,Tre f'ärgprover fastsattra med häftklamrar. Påskrifter i filtpenan och blyerts.
ARKM.2005-02,Produktblad,1962,Papper,210,298,1962,"Högglansigt kalenderat papper, svart och rött tryck. Påskrift i blyerts"
ARKM.2005-02,Blåbetsad bok,1962,Papper,210,298,1962,"Högglansigt kalenderat papper, svart och rött tryck. Påskrift i blyerts"
ARKM.2005-02,Rapport om miljöstudier,1962,Tidskrift,208,296,1962,"Kalenderat glättat papper. Limmad rygg.
5 mm tjock"
ARKM.2005-02,Celler för Fångvården,1962,Tidskrift,208,296,1962,"Kalenderat glättat papper. Limmad rygg.
5 mm tjock"
ARKM.2005-202-,Modell Cell,1962,Tidskrift,208,296,1962,"Kalenderat glättat papper. Limmad rygg.
5 mm tjock"
ARKM.2005-202-,Modell Cell,1962,Tidskrift,208,296,1962,"Kalenderat glättat papper. Limmad rygg.
5 mm tjock"
ARKM.2005-202-,Modell Cell,1962,Tidskrift,208,296,1962,"Kalenderat glättat papper. Limmad rygg.
5 mm tjock"
ARKM.2005-202-,Modell Cell,1962,Tidskrift,208,296,1962,"Kalenderat glättat papper. Limmad rygg.
5 mm tjock"
ARKM.2005-202-,Modell Cell,1962,Tidskrift,208,296,1962,"Kalenderat glättat papper. Limmad rygg.
5 mm tjock"
ARKM.2005-202-,Modell Cell,1962,Tidskrift,208,296,1962,"Kalenderat glättat papper. Limmad rygg.
5 mm tjock"
ARKM.2005-202-,Modell Cell,1962,Tidskrift,208,296,1962,"Kalenderat glättat papper. Limmad rygg.
5 mm tjock"
ARKM.2005-02-03-56-02,Fasadskiss,1962,Transparent papper,419,591,1962,Lite tjockt transparent papper
ARKM.2005-02-03-19-01,Situationsplan,1962,Transparent papper,226,336,1962,Lite tjockt transparent papper
ARKM.2005-102,Situationsplan,1962,Transparent papper,106,122,1962,Lite tjockt transparent papper
ARKM.2005-102,Situationsplan,1962,foto,240,181,1962,Lite tjockt transparent papper
ARKM.2005-102,Situationsplan,1962,foto,210,297,1962,Lite tjockt transparent papper
"Nytt ARKM Videgård, Martin","St.Görans gymnasium, detalj skiss",1962,foto,210,297,1962,Lite tjockt transparent papper
"Nytt ARKM Videgård, Martin","St.Görans gymnasium,",1962,foto,210,297,1962,Lite tjockt transparent papper
"Nytt ARKM Videgård, Martin","Katalog, Galleri Heland.",1962,foto,210,295,1962,Lite tjockt transparent papper
ARKM.2005-102,Ung Leonja,1962,foto,92,122,1962,Lite tjockt transparent papper
ARKM.2005-102,Ung Leonja,1962,foto,92,122,1962,Lite tjockt transparent papper
ARKM.2005-102,Ung Leonja,1962,foto,122,92,1962,Lite tjockt transparent papper
"Nytt ARKM Videgård, Martin","St. Görans gymnasium, en bunt med skisser",1962,foto,227,270,1962,Lite tjockt transparent papper
"Nytt ARKM Videgård, Martin","St.Görans gymnasium, golv entréhall",1962,foto,897,649,1962,Lite tjockt transparent papper
"Nytt ARKM Videgård, Martin","Entrahall, perspektiv",1962,foto,421,327,1962,Lite tjockt transparent papper
ARKM.2005-102,Vykort,1962,foto,103,145,1962,Lite tjockt transparent papper
ARKM.2005-02-31-01-,Trappan,1962,Transparent papper,300,300,1962,Lite tjockt transparent papper
ARKM.2005-02-31-01-,"Perspektiv, väggmålning",1962,Transparent papper,320,225,1962,Utsmetad blyerts
ARKM.2005-02-31-01-,Perspektiv,1962,Fotografi,148,88,1962,Utskriven text på baksidan
ARKM.2005-02-31-01-,Interiör,1962,Foto,148,88,1962,Utskriven text på baksidan
ARKM.2005-02-31-01-,Antekningar,1962,Papper på papp,552,413,1962,Gouache
ARKM.2005-02-,Bostadsrummet Inredning,1962,Papper på papp,580,824,1962,Gouache
ARKM.2005-05,"Faktura för lakan, handdukar mm",1962,Papper på papp,580,824,1962,Gouache
ARKM.2005-02,Skiss av lampa,1962,Papper på papp,580,824,1962,Gouache
ARKM.2005-02-,Fönster i cell,1962,Papper på papp,580,824,1962,Gouache
ARKM.2005-02-,Fönster i cell,1962,Papper på papp,580,824,1962,Gouache
ARKM.2005-02-10-02-020,Fönster i cell,1962,Papper på papp,580,824,1962,Gouache
"Nytt ARKM Videgård, Martin","St.Görans gymnasium,perspektiv",1962,Papper på papp,114,241,1962,Gouache
"Nytt ARKM Videgård, Martin",Artikel,1962,Papper på papp,470,270,1962,Gouache
"Nytt ARKM Videgård, Martin",Artikel,1960,Papper på papp,470,296,1960,Gouache
"ARKM.2005-02-03-20
EJ?",Fasadskiss,1960,Papper på papp,470,296,1960,Gouache
